age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
16,Private,219210,Some-college,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
17,Private,191987,HS-grad,8,Never-married,Craft-repair,Not-in-family,White,Male,0,0,36,United-States,<=50K
33,Private,108959,Some-college,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,34,United-States,<=50K
27,Private,86074,Assoc-voc,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,298895,Some-college,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,303000,HS-grad,8,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
38,Private,197368,12th,8,Divorced,Exec-managerial,Unmarried,White,Male,0,0,30,Mexico,<=50K
27,Private,93427,Some-college,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,22,United-States,<=50K
26,Private,416923,Bachelors,12,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,14510,0,40,Puerto-Rico,>50K
27,Private,77760,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
56,Private,202787,7th-8th,3,Divorced,Transport-moving,Husband,Black,Female,0,0,40,United-States,<=50K
30,State-gov,80068,10th,6,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,142574,Some-college,9,Never-married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,169515,11th,6,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
39,Federal-gov,372673,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
31,Local-gov,418038,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,United-States,>50K
25,Private,119018,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1879,39,United-States,<=50K
20,Private,196336,10th,6,Never-married,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
24,Self-emp-inc,210008,12th,8,Never-married,Craft-repair,Not-in-family,White,Male,0,0,58,United-States,<=50K
44,Private,187493,HS-grad,8,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
42,Private,199088,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
24,Private,180951,Some-college,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Private,125078,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7664,0,60,United-States,>50K
44,Federal-gov,391831,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
35,Private,212228,Prof-school,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
77,Private,213053,Some-college,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,115063,Some-college,9,Never-married,Sales,Unmarried,White,Female,0,0,36,United-States,<=50K
20,Private,173010,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,289803,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,141766,Bachelors,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
18,Private,439015,Some-college,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
27,Private,117110,10th,6,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,39,United-States,<=50K
43,Private,222840,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,93,United-States,>50K
36,Local-gov,231697,HS-grad,8,Divorced,Transport-moving,Not-in-family,White,Male,0,0,59,United-States,<=50K
29,Private,262799,HS-grad,8,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,<=50K
24,Private,274090,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,39,United-States,<=50K
36,Private,219518,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
49,Private,136364,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,33,United-States,<=50K
26,Local-gov,140382,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K
29,Self-emp-not-inc,289304,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,>50K
