age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
90,Private,13492,Bachelors,1,Never-married,Other-service,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,13492,Preschool,1,Never-married,Sales,Own-child,Black,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Never-married,Other-service,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,9th,1,Widowed,Adm-clerical,Own-child,White,Male,0,0,99,Greece,<=50K
90,Private,1490300,9th,1,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Widowed,Sales,Not-in-family,White,Male,0,0,99,Italy,<=50K
90,Private,1490400,9th,1,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,99,Poland,<=50K
90,Private,1490400,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,99,Cambodia,>50K
90,Private,1490400,HS-grad,1,Divorced,Priv-house-serv,Husband,White,Male,0,0,99,China,>50K
90,Private,1490400,9th,1,Married-civ-spouse,Tech-support,Other-relative,White,Male,14040,0,99,Puerto-Rico,<=50K
90,Private,1490400,9th,1,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,99,United-States,<=50K
90,Private,1490400,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,99,United-States,<=50K
90,Private,13492,9th,1,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,99,United-States,<=50K
90,Private,1181088,9th,1,Never-married,Craft-repair,Own-child,Other,Female,99998,0,99,India,<=50K
90,Private,13492,HS-grad,1,Never-married,Craft-repair,Own-child,Other,Male,0,0,99,England,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,99,United-States,<=50K
90,Private,1490399,1st-4th,15,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,99,Iran,<=50K
90,Private,1490400,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,99,United-States,<=50K
90,Private,1490399,Bachelors,1,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,99,United-States,>50K
90,Private,13492,Bachelors,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,99,Cambodia,<=50K
90,Local-gov,13492,9th,1,Widowed,Exec-managerial,Not-in-family,Black,Male,0,0,99,United-States,<=50K
90,Private,1490399,Bachelors,1,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,99,Japan,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,99,Canada,>50K
90,Private,1490400,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,99,United-States,<=50K
90,Private,13492,Preschool,1,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,99,United-States,<=50K
90,Private,1490399,9th,1,Married-civ-spouse,Priv-house-serv,Wife,White,Male,0,0,99,United-States,<=50K
90,Private,1490399,HS-grad,1,Widowed,Adm-clerical,Own-child,Black,Male,0,0,99,Japan,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,99,Puerto-Rico,>50K
90,Local-gov,13492,Preschool,1,Widowed,Adm-clerical,Own-child,White,Female,0,0,99,Thailand,<=50K
90,Private,1490392,9th,1,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,99,United-States,<=50K
90,Local-gov,1490400,9th,1,Widowed,Sales,Not-in-family,White,Female,0,0,99,Italy,>50K
90,Private,1490400,1st-4th,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,99,United-States,<=50K
90,Private,1403293,9th,1,Widowed,Craft-repair,Own-child,White,Female,0,0,99,Laos,<=50K
90,Private,13492,Bachelors,1,Widowed,Adm-clerical,Unmarried,White,Male,0,0,99,United-States,<=50K
90,Private,13492,Bachelors,1,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,99,Trinadad&Tobago,<=50K
90,Private,13492,Bachelors,1,Widowed,Sales,Own-child,Black,Male,0,0,99,United-States,<=50K
90,Private,13492,9th,1,Never-married,Craft-repair,Own-child,Black,Male,0,0,99,Haiti,>50K
90,Private,1490400,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,99,United-States,>50K
90,Private,13492,Bachelors,1,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,99,United-States,>50K
90,Private,1490399,9th,1,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,99,Cambodia,<=50K
90,Private,1490400,Bachelors,1,Never-married,Other-service,Unmarried,Black,Male,0,0,99,United-States,<=50K
90,Private,13492,Bachelors,1,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,0,99,Mexico,<=50K
90,Private,1490400,Bachelors,1,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,HS-grad,1,Widowed,Craft-repair,Unmarried,White,Female,0,0,99,Greece,>50K
90,Private,1490400,9th,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,99,China,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Tech-support,Husband,Black,Female,0,0,99,United-States,<=50K
90,Private,13492,Bachelors,1,Never-married,Other-service,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,15,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,99,United-States,<=50K
90,Private,13492,9th,1,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,0,0,99,United-States,<=50K
90,Local-gov,1490400,9th,1,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,0,99,Puerto-Rico,<=50K
90,Private,1490400,9th,1,Widowed,Priv-house-serv,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,13492,Preschool,1,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,0,99,Trinadad&Tobago,>50K
90,Private,1490400,9th,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,8285,0,99,United-States,<=50K
90,Local-gov,1490400,Bachelors,1,Never-married,Sales,Other-relative,Black,Male,0,0,99,Mexico,<=50K
90,Private,1490400,HS-grad,1,Married-civ-spouse,Priv-house-serv,Unmarried,White,Male,0,0,99,Honduras,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,99,Cambodia,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,99,United-States,<=50K
90,Private,1490400,9th,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,HS-grad,1,Separated,Adm-clerical,Not-in-family,White,Female,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Widowed,Adm-clerical,Not-in-family,Black,Male,0,0,99,United-States,<=50K
90,Local-gov,14108,Bachelors,15,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,99,United-States,<=50K
90,Local-gov,1490400,9th,1,Separated,Exec-managerial,Own-child,Black,Male,0,0,99,Columbia,<=50K
90,Private,1490400,HS-grad,1,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Female,65146,0,99,Poland,<=50K
90,Private,13492,9th,1,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,99,United-States,<=50K
90,Private,1490400,Bachelors,1,Widowed,Adm-clerical,Not-in-family,Black,Male,0,0,99,Laos,<=50K
