age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,319857,Masters,12,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,14880,0,49,Mexico,>50K
39,Self-emp-not-inc,184960,Bachelors,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1614,40,Mexico,<=50K
61,Local-gov,191746,Some-college,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,5207,0,29,United-States,<=50K
64,Self-emp-not-inc,107768,Some-college,10,Divorced,Prof-specialty,Own-child,White,Female,14892,0,28,United-States,>50K
31,Private,317104,HS-grad,7,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,14869,1614,40,Mexico,<=50K
31,Private,91986,Assoc-voc,12,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,14885,0,40,United-States,<=50K
21,Private,340130,Bachelors,13,Separated,Exec-managerial,Not-in-family,Black,Female,14883,0,40,Mexico,<=50K
21,Local-gov,97423,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,5193,0,40,United-States,>50K
50,Self-emp-inc,115379,Masters,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,14887,1919,26,Mexico,>50K
23,Private,209435,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,1613,40,Mexico,<=50K
18,Self-emp-not-inc,188208,Masters,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,14893,1919,34,Mexico,>50K
31,Private,353300,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,5299,1918,48,Mexico,>50K
22,Self-emp-not-inc,189242,Some-college,6,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
21,Private,203134,11th,6,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,14854,0,40,United-States,<=50K
48,Self-emp-inc,222517,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,1612,31,Mexico,<=50K
22,Private,112317,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,5176,0,80,Mexico,<=50K
33,Private,208003,Assoc-voc,12,Married-civ-spouse,Craft-repair,Husband,Black,Male,5302,0,46,Mexico,<=50K
29,Private,87685,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
22,Self-emp-inc,294786,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,14897,0,40,United-States,>50K
32,Private,271244,Masters,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,1918,48,United-States,>50K
31,Private,264550,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Mexico,<=50K
21,Self-emp-inc,205777,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,5152,0,40,Mexico,<=50K
32,Self-emp-not-inc,29288,Masters,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
30,Self-emp-not-inc,212720,11th,7,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,1919,27,United-States,>50K
22,Private,52426,Masters,13,Married-civ-spouse,Prof-specialty,Husband,Black,Female,14887,1918,25,United-States,>50K
60,Self-emp-inc,118454,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,1611,40,Mexico,>50K
58,Self-emp-not-inc,198493,Some-college,9,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Mexico,<=50K
22,Self-emp-not-inc,341699,11th,6,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,14869,0,40,Mexico,<=50K
60,Private,173319,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14880,0,39,Mexico,>50K
32,Self-emp-not-inc,126484,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,29,Mexico,>50K
22,Local-gov,192502,HS-grad,4,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,1613,60,United-States,>50K
20,Self-emp-not-inc,200935,Masters,13,Divorced,Other-service,Not-in-family,White,Male,0,0,25,Mexico,<=50K
22,Private,134186,Assoc-voc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,14897,1610,57,United-States,>50K
21,Local-gov,37188,11th,7,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
54,Self-emp-not-inc,109052,Assoc-voc,12,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,5248,0,59,Mexico,>50K
21,State-gov,208664,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,0,1613,40,Mexico,<=50K
48,Private,186499,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,14927,1610,40,United-States,>50K
43,Local-gov,170693,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5400,1918,40,United-States,>50K
39,Private,187639,Bachelors,13,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,14888,1612,57,United-States,>50K
23,Self-emp-inc,187617,Masters,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5228,0,59,United-States,>50K
24,Self-emp-not-inc,426837,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,14851,0,62,United-States,<=50K
32,Self-emp-inc,187876,11th,6,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,14877,1614,59,Mexico,<=50K
19,Private,307339,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,Mexico,>50K
21,Private,126986,HS-grad,9,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,1609,25,United-States,<=50K
48,Self-emp-inc,295695,Masters,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,14893,0,61,United-States,>50K
20,Self-emp-not-inc,36577,HS-grad,8,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Mexico,<=50K
40,Local-gov,172190,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,39,Mexico,>50K
20,Self-emp-inc,104406,Some-college,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,14870,1613,59,United-States,>50K
55,Private,118430,HS-grad,8,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,58,United-States,<=50K
21,Self-emp-not-inc,307038,Masters,13,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,14878,0,30,United-States,<=50K
48,Self-emp-not-inc,34267,7th-8th,2,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,14880,0,39,Mexico,<=50K
51,Private,109831,Some-college,3,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,14889,1611,40,United-States,>50K
25,Self-emp-not-inc,199151,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,1918,39,United-States,>50K
31,Private,208605,Masters,8,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,26,United-States,<=50K
25,Private,153454,11th,6,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,5074,1610,39,Mexico,<=50K
