age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,Private,200462,Some-college,9,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,32,United-States,>50K
43,Private,371145,Some-college,10,Divorced,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,39,China,<=50K
68,Private,203729,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,24,Canada,<=50K
46,Private,245762,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
53,Private,264522,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,39,United-States,>50K
60,Private,169560,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
42,State-gov,159170,Bachelors,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,58,United-States,>50K
43,Private,262707,Some-college,9,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
19,Private,178249,Some-college,9,Divorced,Exec-managerial,Own-child,White,Female,0,0,39,United-States,<=50K
30,Private,179994,HS-grad,9,Never-married,Armed-Forces,Not-in-family,White,Female,0,0,43,Ireland,<=50K
52,Self-emp-not-inc,201917,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,39,United-States,<=50K
22,Private,202521,HS-grad,8,Never-married,Sales,Own-child,White,Male,0,0,39,United-States,<=50K
44,Local-gov,182864,HS-grad,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,8951,0,48,United-States,>50K
57,Private,65306,9th,13,Married-civ-spouse,Transport-moving,Husband,White,Male,7499,0,30,United-States,>50K
17,Private,366016,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,28,United-States,<=50K
33,Private,192386,HS-grad,8,Married-civ-spouse,Tech-support,Unmarried,White,Female,0,0,39,United-States,<=50K
19,Private,163794,HS-grad,8,Separated,Adm-clerical,Unmarried,White,Male,0,0,50,United-States,<=50K
23,Private,271066,Bachelors,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,>50K
57,Private,197155,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,44,United-States,<=50K
35,Private,361838,HS-grad,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
35,Self-emp-not-inc,113259,Some-college,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,59,United-States,>50K
61,Local-gov,176503,Bachelors,13,Widowed,Exec-managerial,Other-relative,White,Female,0,0,39,United-States,>50K
36,Self-emp-not-inc,110944,10th,6,Divorced,Tech-support,Not-in-family,White,Female,0,0,39,United-States,<=50K
53,State-gov,244915,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,39,United-States,>50K
53,Private,66862,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,<=50K
35,Private,290410,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1865,39,Vietnam,>50K
44,Local-gov,186443,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,8819,0,39,India,>50K
53,Private,167618,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,0,0,24,United-States,<=50K
52,Self-emp-not-inc,250373,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,39,United-States,>50K
25,Private,194545,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,6,United-States,<=50K
17,Private,218691,HS-grad,8,Never-married,Other-service,Own-child,White,Female,0,0,39,United-States,<=50K
43,Private,94769,Bachelors,12,Divorced,Sales,Husband,White,Male,4477,0,61,United-States,<=50K
30,Private,126216,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,39,Honduras,<=50K
40,Private,222629,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,46,United-States,>50K
25,Private,436843,11th,7,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Female,0,0,39,United-States,<=50K
43,Private,75335,Bachelors,12,Never-married,Handlers-cleaners,Not-in-family,Black,Female,0,0,39,United-States,<=50K
55,Private,209036,11th,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
43,State-gov,154900,Some-college,9,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,63,United-States,>50K
64,Self-emp-not-inc,107956,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,14,United-States,<=50K
56,Private,194268,HS-grad,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,United-States,<=50K
60,Private,174367,HS-grad,8,Divorced,Protective-serv,Wife,White,Female,0,1639,34,United-States,<=50K
44,Private,193791,HS-grad,8,Married-spouse-absent,Protective-serv,Husband,Other,Male,0,0,43,United-States,<=50K
