age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
57,Private,306582,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,32,Yugoslavia,<=50K
39,Private,23733,Doctorate,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Vietnam,<=50K
56,Local-gov,186515,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,39,Scotland,>50K
34,Private,205435,HS-grad,8,Married-civ-spouse,Other-service,Husband,White,Male,4717,0,39,United-States,<=50K
47,Local-gov,172891,7th-8th,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,31,Thailand,>50K
55,Private,223541,HS-grad,8,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,40,Vietnam,<=50K
41,Self-emp-not-inc,358764,Bachelors,12,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,0,0,59,Yugoslavia,<=50K
38,Private,285621,HS-grad,8,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,South,<=50K
78,Self-emp-not-inc,90725,HS-grad,8,Married-civ-spouse,Prof-specialty,Wife,White,Male,2966,0,40,Yugoslavia,>50K
37,Private,167992,9th,5,Separated,Tech-support,Unmarried,White,Female,0,0,7,Yugoslavia,<=50K
60,Without-pay,88325,Bachelors,15,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,44,Yugoslavia,<=50K
45,Private,194905,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Female,0,0,46,Vietnam,<=50K
39,Without-pay,75277,Some-college,9,Married-spouse-absent,Priv-house-serv,Other-relative,White,Male,0,0,50,Vietnam,<=50K
24,Private,164791,Prof-school,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,4,Yugoslavia,<=50K
38,Private,243886,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,47,Vietnam,>50K
37,Private,194526,Bachelors,5,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,Hong,<=50K
39,Private,386554,HS-grad,8,Never-married,Armed-Forces,Other-relative,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
45,Private,428163,Bachelors,12,Separated,Protective-serv,Unmarried,Other,Female,0,0,25,Yugoslavia,>50K
21,Private,213563,Doctorate,12,Never-married,Armed-Forces,Other-relative,White,Male,0,0,40,Vietnam,<=50K
60,State-gov,93577,Bachelors,13,Married-spouse-absent,Craft-repair,Other-relative,White,Male,4831,0,42,Yugoslavia,<=50K
38,Private,324249,HS-grad,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Vietnam,<=50K
35,Private,99190,HS-grad,8,Separated,Farming-fishing,Not-in-family,White,Male,0,0,40,Trinadad&Tobago,<=50K
36,Local-gov,276936,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Yugoslavia,>50K
36,Private,217387,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,Vietnam,<=50K
54,Private,315342,Doctorate,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Yugoslavia,>50K
23,Private,165233,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
26,Self-emp-inc,273760,HS-grad,8,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Philippines,<=50K
44,Self-emp-inc,357658,Doctorate,15,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,40,United-States,>50K
38,State-gov,114477,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,South,<=50K
29,Local-gov,279124,7th-8th,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,28,Haiti,>50K
23,Private,235284,Bachelors,12,Never-married,Sales,Unmarried,White,Male,0,0,40,Taiwan,<=50K
36,Private,363441,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,Vietnam,>50K
37,Private,171895,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Yugoslavia,<=50K
60,State-gov,99700,Bachelors,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Yugoslavia,>50K
47,Without-pay,136528,Bachelors,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Vietnam,>50K
